Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
ACKIW|Ackrell SPAC Partners I Co.  - Warrants|S|N|N|100|N|N
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|N|N|100|N|N
ACMR|ACM Research, Inc. - Class A Common Stock|G|N|N|100|N|N
ACNB|ACNB Corporation - Common Stock|S|N|N|100|N|N
ACOR|Acorda Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ACQR|Independence Holdings Corp. - Class A Ordinary Share|S|N|N|100|N|N
ACQRU|Independence Holdings Corp. - Units|S|N|N|100|N|N
ACQRW|Independence Holdings Corp. - Warrant|S|N|N|100|N|N
ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock|G|N|D|100|N|N
ACST|Acasti Pharma, Inc.  - Class A Common Stock|S|N|N|100|N|N
ACT|Enact Holdings, Inc. - Common Stock|Q|N|N|100|N|N
ACTD|ArcLight Clean Transition Corp. II - Class A Ordinary Share|S|N|N|100|N|N
ACTDU|ArcLight Clean Transition Corp. II - Unit|S|N|N|100|N|N
ACTDW|ArcLight Clean Transition Corp. II - Warrant|S|N|N|100|N|N
ACTG|Acacia Research Corporation - Common Stock|Q|N|N|100|N|N
ACVA|ACV Auctions Inc. - Class A Common Stock|Q|N|N|100|N|N
ACWI|iShares MSCI ACWI Index Fund|G|N|N|100|Y|N
ACWX|iShares MSCI ACWI ex US Index Fund|G|N|N|100|Y|N
ACXP|Acurx Pharmaceuticals, Inc. - Common Stock|S|N|N|100|N|N
ADAG|Adagene Inc. - ADS, each representing 1.25 ordinary shares|G|N|N|100|N|N
ADALU|Anthemis Digital Acquisitions I Corp - Unit|G|N|N|100|N|N
ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|Q|N|N|100|N|N
ADBE|Adobe Inc. - Common Stock|Q|N|N|100|N|N
ADER|26 Capital Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
ADERU|26 Capital Acquisition Corp. - Unit|S|N|N|100|N|N
ADERW|26 Capital Acquisition Corp. - Warrant|S|N|N|100|N|N
ADES|Advanced Emissions Solutions, Inc. - Common Stock|G|N|N|100|N|N
ADGI|Adagio Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
ADI|Analog Devices, Inc. - Common Stock|Q|N|N|100|N|N
ADIL|Adial Pharmaceuticals, Inc - Common Stock|S|N|N|100|N|N
ADILW|Adial Pharmaceuticals, Inc - Warrant|S|N|N|100|N|N
ADMA|ADMA Biologics Inc - Common Stock|G|N|N|100|N|N
ADMP|Adamis Pharmaceuticals Corporation - Common Stock|S|N|N|100|N|N
ADN|Advent Technologies Holdings, Inc. - Class A Common Stock|S|N|N|100|N|N
ADNWW|Advent Technologies Holdings, Inc. - Warrant|S|N|N|100|N|N
ADOC|Edoc Acquisition Corp. - Class A Ordinary Share|S|N|N|100|N|N
ADOCR|Edoc Acquisition Corp. - Right|S|N|N|100|N|N
ADOCW|Edoc Acquisition Corp. - Warrant|S|N|N|100|N|N
ADP|Automatic Data Processing, Inc. - Common Stock|Q|N|N|100|N|N
ADPT|Adaptive Biotechnologies Corporation - Common Stock|Q|N|N|100|N|N
ADRE|Invesco BLDRS Emerging Markets 50 ADR Index Fund|G|N|N|100|Y|N
ADSE|ADS-TEC ENERGY PLC - Ordinary Shares|S|N|N|100|N|N
ADSEW|ADS-TEC ENERGY PLC - Warrant|S|N|N|100|N|N
ADSK|Autodesk, Inc. - Common Stock|Q|N|N|100|N|N
ADTH|AdTheorent Holding Company, Inc. - Common Stock|S|N|N|100|N|N
ADTHW|AdTheorent Holding Company, Inc. - Warrants|S|N|N|100|N|N
ADTN|ADTRAN, Inc. - Common Stock|Q|N|N|100|N|N
ADTX|Aditxt, Inc. - Common Stock|S|N|N|100|N|N
ADUS|Addus HomeCare Corporation - Common Stock|Q|N|N|100|N|N
ADV|Advantage Solutions Inc.  - Class A Common Stock|Q|N|N|100|N|N
ADVM|Adverum Biotechnologies, Inc. - Common Stock|G|N|N|100|N|N
ADVWW|Advantage Solutions Inc.  - Warrant|Q|N|N|100|N|N
ADXN|Addex Therapeutics Ltd - American Depositary Shares|S|N|N|100|N|N
AEAC|Authentic Equity Acquisition Corp. - Class A ordinary share|S|N|N|100|N|N
AEACU|Authentic Equity Acquisition Corp. - Unit|S|N|N|100|N|N
AEACW|Authentic Equity Acquisition Corp. - Warrant|S|N|N|100|N|N
AEAE|AltEnergy Acquisition Corp. - Class A Common Stock|G|N|N|100|N|N
AEAEU|AltEnergy Acquisition Corp. - Unit|G|N|N|100|N|N
AEAEW|AltEnergy Acquisition Corp. - Warrant|G|N|N|100|N|N
AEHA|Aesther Healthcare Acquisition Corp - Class A Common Stock|G|N|N|100|N|N
AEHAU|Aesther Healthcare Acquisition Corp - Units|G|N|N|100|N|N
AEHAW|Aesther Healthcare Acquisition Corp - Warrants|G|N|N|100|N|N
AEHL|Antelope Enterprise Holdings Limited - Common Stock|S|N|N|100|N|N
AEHR|Aehr Test Systems - Common Stock|S|N|N|100|N|N
AEI|Alset EHome International Inc. - Common Stock|S|N|N|100|N|N
AEIS|Advanced Energy Industries, Inc. - Common Stock|Q|N|N|100|N|N
AEMD|Aethlon Medical, Inc. - Common Stock|S|N|N|100|N|N
AEP|American Electric Power Company, Inc. - Common Stock|Q|N|N|100|N|N
AEPPL|American Electric Power Company, Inc. - Corporate Unit|Q|N|N|100|N|N
AEPPZ|American Electric Power Company, Inc. - Corporate Unit|Q|N|N|100|N|N
AERC|AeroClean Technologies, Inc. - Common Stock|S|N|N|100|N|N
AERI|Aerie Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
AESE|Allied Esports Entertainment, Inc. - Common Stock|S|N|N|100|N|N
AEY|ADDvantage Technologies Group, Inc. - Common Stock|G|N|N|100|N|N
AEYE|AudioEye, Inc. - Common Stock|S|N|N|100|N|N
AEZS|Aeterna Zentaris Inc. - Common Stock|S|N|D|100|N|N
AFACU|Arena Fortify Acquisition Corp. - Unit|G|N|N|100|N|N
AFAQ|AF Acquisition Corp. - Common Stock|S|N|N|100|N|N
AFAQU|AF Acquisition Corp. - Units|S|N|N|100|N|N
AFAQW|AF Acquisition Corp. - Warrants|S|N|N|100|N|N
AFBI|Affinity Bancshares, Inc. - Common Stock|S|N|N|100|N|N
AFCG|AFC Gamma, Inc. - Common Stock|G|N|N|100|N|N
AFIB|Acutus Medical, Inc. - Common Stock|Q|N|N|100|N|N
AFIN|American Finance Trust, Inc. - Class A Common Stock|Q|N|N|100|N|N
AFINO|American Finance Trust, Inc. - 7.375% Series C Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AFINP|American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock|Q|N|N|100|N|N
AFMD|Affimed N.V. - Common Stock|G|N|N|100|N|N
AFRM|Affirm Holdings, Inc. - Class A Common Stock|Q|N|N|100|N|N
AFYA|Afya Limited - Class A Common Shares|Q|N|N|100|N|N
AGBA|AGBA Acquisition Limited - Ordinary Share|S|N|N|100|N|N
AGBAR|AGBA Acquisition Limited - Right|S|N|N|100|N|N
AGBAU|AGBA Acquisition Limited - Unit|S|N|N|100|N|N
AGBAW|AGBA Acquisition Limited - Warrant|S|N|N|100|N|N
AGEN|Agenus Inc. - Common Stock|S|N|N|100|N|N
AGFS|AgroFresh Solutions, Inc. - Common Stock|Q|N|N|100|N|N
AGFY|Agrify Corporation - Common Stock|S|N|N|100|N|N
AGGR|Agile Growth Corp. - Class A Ordinary Share|S|N|N|100|N|N
AGGRU|Agile Growth Corp. - Units|S|N|N|100|N|N
AGGRW|Agile Growth Corp. - Warrant|S|N|N|100|N|N
AGIL|AgileThought, Inc. - Class A Common Stock|S|N|N|100|N|N
AGILW|AgileThought, Inc. - Warrant|S|N|N|100|N|N
AGIO|Agios Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
AGLE|Aeglea BioTherapeutics, Inc. - Common Stock|G|N|N|100|N|N
AGMH|AGM Group Holdings Inc. - Class A Ordinary Shares|S|N|N|100|N|N
AGNC|AGNC Investment Corp. - Common Stock|Q|N|N|100|N|N
AGNCM|AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCN|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCO|AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCP|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNG|Global X Aging Population ETF|G|N|N|100|Y|N
AGRI|AgriFORCE  Growing Systems Ltd. - Common Shares|S|N|N|100|N|N
AGRIW|AgriFORCE  Growing Systems Ltd. - Warrant|S|N|N|100|N|N
AGRX|Agile Therapeutics, Inc. - Common Stock|S|N|D|100|N|N
AGTC|Applied Genetic Technologies Corporation - Common Stock|G|N|N|100|N|N
AGYS|Agilysys, Inc. - Common Stock|Q|N|N|100|N|N
AGZD|WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund|G|N|N|100|Y|N
AHCO|AdaptHealth Corp.  - Common Stock|S|N|N|100|N|N
AHG|Akso Health Group - American Depositary Shares|G|N|N|100|N|N
AHI|Advanced Human Imaging Limited. - American Depositary Shares|S|N|N|100|N|N
AHPA|Avista Public Acquisition Corp. II - Class A Ordinary Shares|S|N|N|100|N|N
AHPAU|Avista Public Acquisition Corp. II - Unit|S|N|N|100|N|N
AHPAW|Avista Public Acquisition Corp. II - Warrant|S|N|N|100|N|N
AHPI|Allied Healthcare Products, Inc. - Common Stock|S|N|N|100|N|N
AHRNU|Ahren Acquisition Corp. - Unit|G|N|N|100|N|N
AIA|iShares Asia 50 ETF|G|N|N|100|Y|N
AIH|Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares|G|N|N|100|N|N
AIHS|Senmiao Technology Limited - Common Stock|S|N|D|100|N|N
AIKI|AIkido Pharma Inc. - Common Stock|S|N|D|100|N|N
AIMC|Altra Industrial Motion Corp. - Common Stock|Q|N|N|100|N|N
AINV|Apollo Investment Corporation - Closed End Fund|Q|N|N|100|N|N
AIP|Arteris, Inc.  - Common Stock|G|N|N|100|N|N
AIQ|Global X Artificial Intelligence & Technology ETF|G|N|N|100|Y|N
AIRG|Airgain, Inc. - Common Stock|S|N|N|100|N|N
AIRR|First Trust RBA American Industrial Renaissance ETF|G|N|N|100|Y|N
AIRS|AirSculpt Technologies, Inc. - Common Stock|G|N|N|100|N|N
AIRT|Air T, Inc. - Common Stock|G|N|N|100|N|N
AIRTP|Air T, Inc. - Trust Preferred Securities|G|N|N|100|N|N
AKAM|Akamai Technologies, Inc. - Common Stock|Q|N|N|100|N|N
AKBA|Akebia Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
AKIC|Sports Ventures Acquisition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
AKICU|Sports Ventures Acquisition Corp. - Unit|S|N|N|100|N|N
AKICW|Sports Ventures Acquisition Corp. - Warrant|S|N|N|100|N|N
AKRO|Akero Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
AKTS|Akoustis Technologies, Inc. - Common Stock|S|N|N|100|N|N
AKTX|Akari Therapeutics Plc - American Depositary Shares|S|N|N|100|N|N
AKU|Akumin Inc. - Common Shares|S|N|N|100|N|N
AKUS|Akouos, Inc. - Common Stock|Q|N|N|100|N|N
AKYA|Akoya BioSciences, Inc. - Common Stock|Q|N|N|100|N|N
ALAC|Alberton Acquisition Corporation - Ordinary Shares|S|N|D|100|N|N
ALACR|Alberton Acquisition Corporation - Rights|S|N|D|100|N|N
ALACU|Alberton Acquisition Corporation - Unit|S|N|D|100|N|N
ALACW|Alberton Acquisition Corporation - Warrant|S|N|D|100|N|N
ALBO|Albireo Pharma, Inc. - Common Stock|S|N|N|100|N|N
ALCO|Alico, Inc. - Common Stock|Q|N|N|100|N|N
ALDX|Aldeyra Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
ALEC|Alector, Inc. - Common Stock|Q|N|N|100|N|N
ALF|ALFI, Inc. - Common Stock|S|N|E|100|N|N
ALFIW|ALFI, Inc. - Warrant|S|N|E|100|N|N
ALGM|Allegro MicroSystems, Inc. - Common Stock|Q|N|N|100|N|N
ALGN|Align Technology, Inc. - Common Stock|Q|N|N|100|N|N
ALGS|Aligos Therapeutics, Inc. - Common stock|Q|N|N|100|N|N
ALGT|Allegiant Travel Company - Common Stock|Q|N|N|100|N|N
ALHC|Alignment Healthcare, Inc. - Common Stock|Q|N|N|100|N|N
ALIM|Alimera Sciences, Inc. - Common Stock|G|N|N|100|N|N
ALJJ|ALJ Regional Holdings, Inc. - Common Stock|G|N|N|100|N|N
ALKS|Alkermes plc - Ordinary Shares|Q|N|N|100|N|N
ALKT|Alkami Technology, Inc. - Common Stock|Q|N|N|100|N|N
ALLK|Allakos Inc. - Common Stock|Q|N|N|100|N|N
ALLO|Allogene Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ALLR|Allarity Therapeutics, Inc. - Common stock|G|N|N|100|N|N
ALLT|Allot Ltd. - Ordinary Shares|Q|N|N|100|N|N
ALNA|Allena Pharmaceuticals, Inc. - Common Stock|Q|N|D|100|N|N
ALNY|Alnylam Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
ALORU|ALSP Orchid Acquisition Corporation I - Unit|G|N|N|100|N|N
ALOT|AstroNova, Inc. - Common Stock|G|N|N|100|N|N
ALPA|Alpha Healthcare Acquisition Corp. III - Class A Common Stock|S|N|N|100|N|N
ALPAU|Alpha Healthcare Acquisition Corp. III - Units|S|N|N|100|N|N
ALPAW|Alpha Healthcare Acquisition Corp. III - Warrant|S|N|N|100|N|N
ALPN|Alpine Immune Sciences, Inc. - Common Stock|G|N|N|100|N|N
ALPP|Alpine 4 Holdings, Inc. - Class A Common Stock|S|N|N|100|N|N
ALRM|Alarm.com Holdings, Inc. - Common Stock|Q|N|N|100|N|N
ALRN|Aileron Therapeutics, Inc. - Common Stock|S|N|D|100|N|N
ALRS|Alerus Financial Corporation - Common Stock|S|N|N|100|N|N
ALSAU|Alpha Star Acquisition Corporation - Units|G|N|N|100|N|N
ALT|Altimmune, Inc. - Common Stock|G|N|N|100|N|N
ALTM|Altus Midstream Company - Class A Common Stock|G|N|N|100|N|N
ALTO|Alto Ingredients, Inc. - Common Stock|S|N|N|100|N|N
ALTR|Altair Engineering Inc. - Class A Common Stock|Q|N|N|100|N|N
ALTU|Altitude Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
ALTUU|Altitude Acquisition Corp. - Unit|S|N|N|100|N|N
ALTUW|Altitude Acquisition Corp. - Warrant|S|N|N|100|N|N
ALTY|Global X Alternative Income ETF|G|N|N|100|Y|N
ALVR|AlloVir, Inc. - Common Stock|Q|N|N|100|N|N
ALXO|ALX Oncology Holdings Inc. - Common Stock|Q|N|N|100|N|N
ALYA|Alithya Group inc. - Class A subordinate voting shares|S|N|N|100|N|N
ALZN|Alzamend Neuro, Inc. - Common Stock|S|N|N|100|N|N
AMAL|Amalgamated Financial Corp. - Common Stock|G|N|N|100|N|N
AMAO|American Acquisition Opportunity Inc. - Class A Common Stock|S|N|N|100|N|N
AMAOU|American Acquisition Opportunity Inc. - Units|S|N|N|100|N|N
AMAOW|American Acquisition Opportunity Inc. - Warrant|S|N|N|100|N|N
AMAT|Applied Materials, Inc. - Common Stock|Q|N|N|100|N|N
AMBA|Ambarella, Inc. - Ordinary Shares|Q|N|N|100|N|N
AMCI|AMCI Acquisition Corp. II - Class A Common Stock|S|N|N|100|N|N
AMCIU|AMCI Acquisition Corp. II - Units|S|N|N|100|N|N
AMCIW|AMCI Acquisition Corp. II - Warrant|S|N|N|100|N|N
AMCX|AMC Networks Inc. - Class A Common Stock|Q|N|N|100|N|N
AMD|Advanced Micro Devices, Inc. - Common Stock|Q|N|N|100|N|N
AMED|Amedisys Inc - Common Stock|Q|N|N|100|N|N
AMEH|Apollo Medical Holdings, Inc. - Common Stock|S|N|N|100|N|N
AMGN|Amgen Inc. - Common Stock|Q|N|N|100|N|N
AMKR|Amkor Technology, Inc. - Common Stock|Q|N|N|100|N|N
AMNB|American National Bankshares, Inc. - Common Stock|Q|N|N|100|N|N
AMOT|Allied Motion Technologies, Inc. - Common Stock|G|N|N|100|N|N
AMPG|Amplitech Group, Inc. - Common Stock|S|N|N|100|N|N
AMPGW|Amplitech Group, Inc. - Warrants|S|N|N|100|N|N
AMPH|Amphastar Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
AMPL|Amplitude, Inc. - Class A Common Stock|S|N|N|100|N|N
AMRK|A-Mark Precious Metals, Inc. - Common Stock|Q|N|N|100|N|N
AMRN|Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share|G|N|N|100|N|N
AMRS|Amyris, Inc. - Common Stock|Q|N|N|100|N|N
AMSC|American Superconductor Corporation - Common Stock|Q|N|N|100|N|N
AMSF|AMERISAFE, Inc. - Common Stock|Q|N|N|100|N|N
AMST|Amesite Inc. - Common Stock|S|N|N|100|N|N
AMSWA|American Software, Inc. - Class A Common Stock|Q|N|N|100|N|N
AMTB|Amerant Bancorp Inc. - Class A Common Stock|Q|N|N|100|N|N
AMTI|Applied Molecular Transport Inc. - common stock|Q|N|N|100|N|N
AMTX|Aemetis, Inc - Common Stock|G|N|N|100|N|N
AMWD|American Woodmark Corporation - Common Stock|Q|N|N|100|N|N
AMYT|Amryt Pharma plc - American Depositary Shares|Q|N|N|100|N|N
AMZN|Amazon.com, Inc. - Common Stock|Q|N|N|100|N|N
ANAB|AnaptysBio, Inc. - Common Stock|Q|N|N|100|N|N
ANAT|American National Group, Inc. - Common Stock|Q|N|N|100|N|N
ANDE|The Andersons, Inc. - Common Stock|Q|N|N|100|N|N
ANEB|Anebulo Pharmaceuticals, Inc. - Common Stock|S|N|N|100|N|N
ANGI|Angi Inc. - Class A Common Stock|Q|N|N|100|N|N
ANGL|VanEck Fallen Angel High Yield Bond ETF|G|N|N|100|Y|N
ANGN|Angion Biomedica Corp. - Common Stock|Q|N|N|100|N|N
ANGO|AngioDynamics, Inc. - Common Stock|Q|N|N|100|N|N
ANIK|Anika Therapeutics Inc. - Common Stock|Q|N|N|100|N|N
ANIP|ANI Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
ANIX|Anixa Biosciences, Inc. - Common Stock|S|N|N|100|N|N
ANNX|Annexon, Inc. - common stock|Q|N|N|100|N|N
ANPC|AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares|G|N|D|100|N|N
ANSS|ANSYS, Inc. - Common Stock|Q|N|N|100|N|N
ANTE|AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares|S|N|N|100|N|N
ANY|Sphere 3D Corp. - Common Shares|S|N|N|100|N|N
ANZU|Anzu Special Acquisition Corp I - Class A Common Stock|S|N|N|100|N|N
ANZUU|Anzu Special Acquisition Corp I - Units|S|N|N|100|N|N
ANZUW|Anzu Special Acquisition Corp I - Warrant|S|N|N|100|N|N
AOSL|Alpha and Omega Semiconductor Limited - Common Shares|Q|N|N|100|N|N
AOUT|American Outdoor Brands, Inc. - Common Stock|Q|N|N|100|N|N
APA|APA Corporation - Common Stock|Q|N|N|100|N|N
APAC|StoneBridge Acquisition Corporation - Class A Ordinary Shares|S|N|N|100|N|N
APACU|StoneBridge Acquisition Corporation - Unit|S|N|N|100|N|N
APACW|StoneBridge Acquisition Corporation - Warrant|S|N|N|100|N|N
APDN|Applied DNA Sciences, Inc. - Common Stock|S|N|N|100|N|N
APEI|American Public Education, Inc. - Common Stock|Q|N|N|100|N|N
APEN|Apollo Endosurgery, Inc. - Common Stock|G|N|N|100|N|N
API|Agora, Inc. - ADS|Q|N|N|100|N|N
APLS|Apellis Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
APLT|Applied Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
APM|Aptorum Group Limited - Class A Ordinary Shares|G|N|N|100|N|N
APMI|AxonPrime Infrastructure Acquisition Corporation - Class A Common Stock|S|N|N|100|N|N
APMIU|AxonPrime Infrastructure Acquisition Corporation - Unit|S|N|N|100|N|N
APMIW|AxonPrime Infrastructure Acquisition Corporation - Warrants|S|N|N|100|N|N
APOG|Apogee Enterprises, Inc. - Common Stock|Q|N|N|100|N|N
APP|Applovin Corporation - Class A Common Stock|Q|N|N|100|N|N
APPF|AppFolio, Inc. - Class A Common Stock|G|N|N|100|N|N
APPH|AppHarvest, Inc. - Common Stock|Q|N|N|100|N|N
APPHW|AppHarvest, Inc. - Warrants|Q|N|N|100|N|N
APPN|Appian Corporation - Class A Common Stock|G|N|N|100|N|N
APPS|Digital Turbine, Inc. - Common Stock|S|N|N|100|N|N
APR|Apria, Inc. - Common Stock|Q|N|N|100|N|N
APRE|Aprea Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
APTM|Alpha Partners Technology Merger Corp. - Class A Ordinary Shares|S|N|N|100|N|N
APTMU|Alpha Partners Technology Merger Corp. - Unit|S|N|N|100|N|N
APTMW|Alpha Partners Technology Merger Corp. - Warrant|S|N|N|100|N|N
APTO|Aptose Biosciences, Inc. - Common Shares|S|N|N|100|N|N
APTX|Aptinyx Inc. - Common Stock|Q|N|N|100|N|N
APVO|Aptevo Therapeutics Inc. - Common Stock|S|N|N|100|N|N
APWC|Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share|S|N|N|100|N|N
APXIU|APx Acquisition Corp. I - Unit|G|N|N|100|N|N
APYX|Apyx Medical Corporation - Common Stock|Q|N|N|100|N|N
AQB|AquaBounty Technologies, Inc. - Common Stock|S|N|N|100|N|N
AQMS|Aqua Metals, Inc. - Common Stock|S|N|N|100|N|N
AQST|Aquestive Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
AQWA|Global X Clean Water ETF|G|N|N|100|Y|N
ARAV|Aravive, Inc. - Common Stock|Q|N|N|100|N|N
ARAY|Accuray Incorporated - Common Stock|Q|N|N|100|N|N
ARBE|Arbe Robotics Ltd. - Ordinary Shares|S|N|N|100|N|N
ARBEW|Arbe Robotics Ltd. - Warrant|S|N|N|100|N|N
ARBG|Aequi Acquisition Corp. - common stock|S|N|N|100|N|N
ARBGU|Aequi Acquisition Corp. - Unit|S|N|N|100|N|N
ARBGW|Aequi Acquisition Corp. - warrants|S|N|N|100|N|N
ARBK|Argo Blockchain plc - American Depositary Shares|Q|N|N|100|N|N
ARBKL|Argo Blockchain plc - 8.75% Senior Notes due 2026|G|N|N|100|N|N
ARCB|ArcBest Corporation - Common Stock|Q|N|N|100|N|N
ARCC|Ares Capital Corporation - Closed End Fund|Q|N|N|100|N|N
ARCE|Arco Platform Limited - Class A Common Shares|Q|N|N|100|N|N
ARCK|Arbor Rapha Capital Bioholdings Corp. I - Class A Common Stock|G|N|N|100|N|N
ARCKU|Arbor Rapha Capital Bioholdings Corp. I - Units|G|N|N|100|N|N
ARCKW|Arbor Rapha Capital Bioholdings Corp. I - Warrants|G|N|N|100|N|N
